Pred Tree: (airplane at)	Gold Tree: (airplane at)
Pred Tree: (toilet with)	Gold Tree: (toilet with)
Pred Tree: ((a man) wearing)	Gold Tree: ((a man) wearing)
Pred Tree: ((an elephant) and)	Gold Tree: (an (elephant and))
Pred Tree: ((a man) n)	Gold Tree: (a (man n))
Pred Tree: ((there are) animals)	Gold Tree: (there (are animals))
Pred Tree: ((tennis player) (on court))	Gold Tree: ((tennis player) (on court))
Pred Tree: (a ((picture of) something))	Gold Tree: ((a picture) (of something))
Pred Tree: ((a man) (is having))	Gold Tree: ((a man) (is having))
Pred Tree: ((a child) (is (cutting paper)))	Gold Tree: ((a child) (is (cutting paper)))
Pred Tree: (woman (((with checkered) shirt) trying))	Gold Tree: (woman ((with (checkered shirt)) trying))
Pred Tree: ((there is) ((a <unk>) (riding a)))	Gold Tree: (there (is ((a <unk>) (riding a))))
Pred Tree: ((three giraffes) (((standing in) an) enclosure))	Gold Tree: ((three giraffes) (standing (in (an enclosure))))
Pred Tree: ((there is) (((a park) bench) facing))	Gold Tree: (there (is ((a (park bench)) facing)))
Pred Tree: ((an elephant) (kept ((in a) yard)))	Gold Tree: ((an elephant) (kept (in (a yard))))
Pred Tree: ((onions ,) ((tomatoes and) (olives atop)))	Gold Tree: ((onions (, (tomatoes (and olives)))) atop)
Pred Tree: (((a big) umbrella) (((sitting on) the) beach))	Gold Tree: ((a (big umbrella)) (sitting (on (the beach))))
Pred Tree: (((a man) (looks ((out into) the))) mountains)	Gold Tree: ((a man) (looks (out (into (the mountains)))))
Pred Tree: ((this is) (a ((photo of) (a desert))))	Gold Tree: (this (is ((a photo) (of (a desert)))))
Pred Tree: ((two (snow boarders)) (skiing ((down a) mountain)))	Gold Tree: ((two (snow boarders)) (skiing (down (a mountain))))
Pred Tree: (((an airplane) (((flying over) a) crowded)) beach)	Gold Tree: ((an airplane) (flying (over (a (crowded beach)))))
